species,order,oCode,set,Stock,phyl,repr,code,Sex,Linf,L0,W0,EggDWg,K,t0,Lm,M,Temp,cycle,litter,aW,bW,s_W,s_Linf,s_L0,s_K,s_t0,s_Lm,s_M,source_GSI,source_F,source_eggD,source_cycle,source_litter
Dipturus laevis,Rajiformes,10,o,,c,o,4,f,166.3,19.3,32,,0.1414,-1.29,116.3,0.23,9.5,1,75.5,0.001125,3.339,Gedamke etal 2005,Gedamke etal 2005,Parent et al 2008,Gedamke etal 2005,Gedamke etal 2005,Gedamke etal 2005,Gedamke et al 2008,,,,Parent et al 2008,Parent et al 2008
Amblyraja radiata,Rajiformes,10,o,,c,o,4,f,102,10.4,,,0.06,-2.7,53.4,,5,1,41,0.0073,3.048,McPhie & Campana 2009 (Repr…),McPhie & Campana 2009 (Bomb…),McPhie & Campana 2009 (Bomb…)(L0),McPhie & Campana 2009 (Bomb…),McPhie & Campana 2009 (Bomb…),McPhie & Campana 2009 (Repr…),,,,,McPhie & Campana 2009 (Repr…),McPhie & Campana 2009 (Repr…)
Malacoraja senta,Rajiformes,10,o,,c,o,4,f,64.7,9.5,,,0.1,-2,47.2,,5,1,,0.0027,3.147,McPhie & Campana 2009 (Repr…),McPhie & Campana 2009 (Bomb…),McPhie & Campana 2009 (Bomb…)(L0),McPhie & Campana 2009 (Bomb…),McPhie & Campana 2009 (Bomb…),McPhie & Campana 2009 (Repr…),,,,,McPhie & Campana 2009 (Repr…),McPhie & Campana 2009 (Repr…)
Raja clavata,Rajiformes,10,o,,c,o,4,f,117.6,,8.9,,0.16,-0.7,70.5,,9,1,48,0.003,3.17,Whittamore & McCarthy 2005,Whittamore & McCarthy 2005,Ellis & Shackley 1995(w=8.9g),Whittamore & McCarthy 2005,,Whittamore & McCarthy 2005,Whittamore & McCarthy 2005,,,,Ellis & Shackley 1995,Ellis & Shackley 1995
Raja clavata,Rajiformes,10,o,,c,o,4,f,139.2,11.84,8.9,,0.09,-2.626,69.12,0.16,9,1,68,0.001871,3.173,Ryland & Ajayi 1984,Ryland & Ajayi 1984,Ellis & Shackley 1995(w=8.9g),Ryland & Ajayi 1984,Ryland & Ajayi 1984,,Ryland & Ajayi 1984,,,,,Ryland & Ajayi 1984
Raja microcellata,Rajiformes,10,o,,c,o,4,f,137,10,,,0.086,-3.009,68.2,0.14,9,1,58,0.000893,3.311,Ryland & Ajayi 1984,Ryland & Ajayi 1984,Ryland & Ajayi 1984(L0),Ryland & Ajayi 1984,Ryland & Ajayi 1984,Ryland & Ajayi 1984,Ryland & Ajayi 1984,,,,,Ryland & Ajayi 1984
Raja montagui,Rajiformes,10,o,,c,o,4,f,97.8,11,,,0.152,-1.719,62.58,0.25,9,1,70,0.001183,3.244,Ryland & Ajayi 1984,Ryland & Ajayi 1984,Serena 2005(L0),Ryland & Ajayi 1984,Ryland & Ajayi 1984,Ryland & Ajayi 1984,Ryland & Ajayi 1984,,,,Walker 1999,Walker 1999
Raja miraletus,Rajiformes,10,o,,c,o,4,f,69.2,6.2,4,,0.18,-0.11,41.8,,18,,,0.0011,3.3876,Kadri et al 2012,Kadri et al 2012,"Capape et al 2007(DW,w=4g)",Kadri et al 2012,,Kadri et al 2012,,,,,,
Clupea harengus ,Clupeiformes,3,f,North Sea ,t,o,5,c,30,,0.000965,0.000193,0.33,-2.9,25.7,,9,1,41700,0.00535,3.1436,Jennings beverton 1991,Jennings beverton 1991,Jennings beverton 1991(ww 5dw),,,,,,,,,
Clupea harengus ,Clupeiformes,3,f,W. Scotland ,t,o,5,c,34.85,,0.001375,0.000275,0.41,-1.02,27,,9.5,1,39500,0.019507261,2.72,Jennings beverton 1991,Jennings beverton 1991,Jennings beverton 1991(ww 5dw),,,,,,,,,
