class	subclass	superorder	order	family	species	Maximum_weight_(kg)	interbirth_interval_(years)	maximum_litter_size_(daughters_per_year)	age_at_maturity_(years)	annual_mortality	rmax										
Actinopterygii	Euteleostei	Protacanthopterygii	Esociformes	Esocidae	Esox_lucius	35	NA	32000	2	NA	0.46
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.77
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.54
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.29
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.57
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.9
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.77
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	1
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.59
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.59
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.2
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.47
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.75
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	1.38
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.55
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.69
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.68
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.72
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	1.01
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.12
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.94
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	1.02
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.56
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.74
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.71
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.94
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.52
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.47
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.59
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.98
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	1.11
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.83
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.67
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.96
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	1.02
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	1.06
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.82
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.93
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.58
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.33
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.41
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.7
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.67
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.72
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.44
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.28
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.56
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.52
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.52
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	1.1
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.27
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_gorbuscha	6.8	NA	1500	2	NA	0.11
