"YEAR","AGE","YEARCLASS","n","mean","sd","se"
2012,5,2007,5035,28.9805362462761,4.71609751754784,0.0664634742183103
2012,6,2006,3953,29.9838097647356,4.96457500864203,0.078962096304356
2013,0,2013,13096,9.37354917532071,2.07886870860658,0.0181659338765161
2013,1,2012,5314,13.6311629657508,3.9313485586172,0.0539300441244617
2013,2,2011,16486,21.1987747179425,3.220758564284,0.0250842154636285
2013,3,2010,13119,24.1901059531977,3.51393752879851,0.0306791745425705
2013,4,2009,8471,26.7066462046984,3.77386175742943,0.0410032844810628
2013,5,2008,5484,28.0324580598104,4.34618623113101,0.0586893917484763
2013,6,2007,3562,29.9146546883773,4.37687032353662,0.0733359162046419
2014,0,2014,6213,11.5015290519878,1.59831464450346,0.0202773688838437
2014,1,2013,3422,15.9824663939217,3.24660900528798,0.0554996170321215
2014,2,2012,14265,21.4747283561164,3.24496611288604,0.0271690390399426
2014,3,2011,12706,24.2391783409413,3.72185370001767,0.0330183123976927
2014,4,2010,9870,25.9704154002026,4.24303905392084,0.0427089065701189
2014,5,2009,6390,28.1154929577465,3.76934704943527,0.0471536913407188
2014,6,2008,3435,30.0666666666667,3.94855286088521,0.0673712469718781
2015,0,2015,9473,9.66367570991238,1.54802316492653,0.015905000482266
2015,1,2014,3219,15.3755824790308,2.93438291676314,0.0517197357517328
2015,2,2013,23264,20.8313273727648,3.18819050271917,0.0209026846765252
2015,3,2012,18155,23.2766730928119,3.56249599521455,0.0264396838725129
2015,4,2011,12944,25.2038009888752,3.81369390769812,0.0335205843507744
2015,5,2010,10547,26.6584810846686,4.02683781666502,0.0392102548898853
2015,6,2009,5578,28.7377196127644,4.43099592695517,0.0593283261830515
2016,0,2016,6293,10.2467821388845,1.78562402785004,0.0225092567741994
2016,1,2015,2434,16.1027115858669,2.52780038891919,0.0512368579707667
2016,2,2014,16975,21.5331958762887,3.2356766162673,0.0248347743811007
2016,3,2013,15880,23.8163098236776,3.72105979833387,0.0295285009641951
2016,4,2012,12235,25.0921945239068,4.01159025191697,0.0362672461961343
2016,5,2011,10319,25.9265432696967,4.39089173169858,0.0432248925541897
2016,6,2010,5684,28.0584095707248,4.60153613393687,0.0610345577518094
