Group;Species;Temp;Body mass;Respiration;Respiratio 15 C;Spec Resp 15C ;Source;Source;;;
Amphipoda;Euthemisto libellula ad;6.7;3.25E-01;2.62E+00;6.16E+00;1.90E+01;8;Ikeda 1970;;;
Amphipoda;Hyperia sp ad;17;7.71E-02;7.19E-01;5.85E-01;7.59E+00;8;Ikeda 1970;;;
Amphipoda;Hyperia sp juv;17;2.92E-02;3.00E-01;2.44E-01;8.35E+00;8;Ikeda 1970;;;
Amphipoda;Phronima sp;28.8;3.32E+00;3.84E+01;9.28E+00;2.80E+00;8;Ikeda 1970;;;
Amphipoda;Orchomene sp;29.9;3.69E-01;1.43E+01;3.09E+00;8.36E+00;8;Ikeda 1970;;;
Amphipoda;Brachyscelus latipes female;29;7.71E-02;4.64E+00;1.10E+00;1.42E+01;8;Ikeda 1970;;;
Amphipoda;Synopia ultramarina ;30.2;3.65E-02;1.46E+01;3.04E+00;8.33E+01;8;Ikeda 1970;;;
Amphipoda;Themisto sp;13.9;5.96E+00;2.77E+01;3.10E+01;5.20E+00;18;Mayzaud et al. 2005;;;
Amphipoda;Themisto sp;13.9;1.92E+00;1.95E+01;2.18E+01;1.14E+01;18;Mayzaud et al. 2005;;;
Amphipoda;Phronima sedentaria;13.9;1.96E+01;7.82E+01;8.76E+01;4.48E+00;18;Mayzaud et al. 2005;;;
Amphipoda;Parathemisto gaudichaudi;-0.9;5.82E-01;1.27E+00;6.51E+00;1.12E+01;12;Ikeda %& Mitchell 1982;;;
Amphipoda;Parathemisto gaudichaudi;-0.9;5.82E-01;1.38E+00;7.10E+00;1.22E+01;12;Ikeda %& Mitchell 1982;;;
Amphipoda;Parathemisto gaudichaudi;-0.9;6.12E-01;1.49E+00;7.64E+00;1.25E+01;12;Ikeda %& Mitchell 1982;;;
Amphipoda;Parathemisto gaudichaudi;-0.9;6.67E-01;1.40E+00;7.19E+00;1.08E+01;12;Ikeda %& Mitchell 1982;;;
Amphipoda;Parathemisto gaudichaudi;-0.9;7.01E-01;1.51E+00;7.74E+00;1.10E+01;12;Ikeda %& Mitchell 1982;;;
Amphipoda;Parathemisto gaudichaudi;-0.9;1.19E+00;2.56E+00;1.32E+01;1.10E+01;12;Ikeda %& Mitchell 1982;;;
Amphipoda;Parathemisto gaudichaudi;-0.9;1.21E+00;2.24E+00;1.15E+01;9.53E+00;12;Ikeda %& Mitchell 1982;;;
Amphipoda;Parathemisto gaudichaudi;-0.9;1.40E+00;2.30E+00;1.18E+01;8.42E+00;12;Ikeda %& Mitchell 1982;;;
Amphipoda;Parathemisto gaudichaudi;-0.9;1.49E+00;2.36E+00;1.21E+01;8.12E+00;12;Ikeda %& Mitchell 1982;;;
Amphipoda;Parathemisto gaudichaudi;-0.9;1.63E+00;2.60E+00;1.34E+01;8.22E+00;12;Ikeda %& Mitchell 1982;;;
Amphipoda;Parathemisto gaudichaudi;-0.9;1.98E+00;3.09E+00;1.59E+01;8.02E+00;12;Ikeda %& Mitchell 1982;;;
Amphipoda;Parathemisto gaudichaudi;-0.9;2.01E+00;3.91E+00;2.01E+01;1.00E+01;12;Ikeda %& Mitchell 1982;;;
Amphipoda;Parathemisto gaudichaudi;-0.9;1.80E+00;3.86E+00;1.98E+01;1.10E+01;12;Ikeda %& Mitchell 1982;;;
Amphipoda;Parathemisto gaudichaudi;-0.9;2.42E+00;6.73E+00;3.46E+01;1.43E+01;12;Ikeda %& Mitchell 1982;;;
Amphipoda;Parathemisto gaudichaudi;-0.9;2.77E+00;3.82E+00;1.96E+01;7.09E+00;12;Ikeda %& Mitchell 1982;;;
Amphipoda;Parathemisto gaudichaudi;-0.9;3.82E+00;4.07E+00;2.09E+01;5.47E+00;12;Ikeda %& Mitchell 1982;;;
Amphipoda;Parathemisto gaudichaudi;-0.9;4.60E+00;4.84E+00;2.49E+01;5.41E+00;12;Ikeda %& Mitchell 1982;;;
Amphipoda;Parathemisto gaudichaudi;-0.9;4.84E+00;5.21E+00;2.68E+01;5.54E+00;12;Ikeda %& Mitchell 1982;;;
Amphipoda;Parathemisto gaudichaudi;-0.9;8.34E+00;8.56E+00;4.40E+01;5.27E+00;12;Ikeda %& Mitchell 1982;;;
Amphipoda;Parathemisto gaudichaudi;-0.9;4.55E+00;5.61E+00;2.88E+01;6.34E+00;12;Ikeda %& Mitchell 1982;;;
Amphipoda;Parathemisto gaudichaudi;-0.9;4.78E+00;6.04E+00;3.11E+01;6.50E+00;12;Ikeda %& Mitchell 1982;;;
Amphipoda;Parathemisto gaudichaudi;-0.9;5.28E+00;6.59E+00;3.39E+01;6.42E+00;12;Ikeda %& Mitchell 1982;;;
Cumacea;Diastylis sp female;17;7.31E-02;3.10E-01;2.52E-01;3.45E+00;9;Ikeda 1970;;;
Cumacea;Iphinoe sp female;29;4.43E-01;1.19E+00;2.82E-01;6.36E-01;9;Ikeda 1970;;;
Cumacea;Iphinoe sp juv;30;4.06E-02;3.46E-01;7.38E-02;1.82E+00;9;Ikeda 1970;;;
Decapoda;Penaeus sp;12.1;6.33E+00;2.29E+01;3.09E+01;4.88E+00;9;Ikeda 1970;;;
Decapoda;Brachyuran zoea;12.1;2.07E-01;7.20E-01;9.71E-01;4.69E+00;9;Ikeda 1970;;;
Decapoda;Brachyuran zoea;6.8;4.87E-02;1.79E-01;4.16E-01;8.55E+00;9;Ikeda 1970;;;
Decapoda;Crangon affinis;17;4.43E+00;7.26E+00;5.91E+00;1.33E+00;9;Ikeda 1970;;;
Decapoda;Leptochela gracilis juv;17;7.84E-01;4.39E+00;3.57E+00;4.56E+00;9;Ikeda 1970;;;
Decapoda;Brachyuran megalopa;17;9.34E-02;1.61E+00;1.31E+00;1.41E+01;9;Ikeda 1970;;;
Decapoda;Brachyuran zoea;17;8.12E-02;8.03E-01;6.54E-01;8.05E+00;9;Ikeda 1970;;;
Decapoda;Lucifer typus ad;17;2.76E-02;5.26E-01;4.28E-01;1.55E+01;9;Ikeda 1970;;;
Decapoda;Brachyuran megalopa;28;6.17E-01;8.11E+00;2.13E+00;3.45E+00;9;Ikeda 1970;;;
Decapoda;Lysmata sp;30;5.97E-01;1.40E+01;3.00E+00;5.02E+00;9;Ikeda 1970;;;
Decapoda;Macruran post mysis;30.2;5.56E-01;1.25E+01;2.61E+00;4.70E+00;9;Ikeda 1970;;;
Decapoda;Macruran post mysis;29;5.28E-02;1.12E+01;2.66E+00;5.03E+01;9;Ikeda 1970;;;
Decapoda;Macruran mysis;28;2.56E-01;2.93E+00;7.68E-01;3.00E+00;9;Ikeda 1970;;;
Decapoda;Brachyuran zoea;28;1.22E-01;4.22E+00;1.11E+00;9.09E+00;9;Ikeda 1970;;;
Decapoda;Brachyuran zoea;30;2.84E-02;7.77E-01;1.66E-01;5.84E+00;9;Ikeda 1970;;;
Decapods;Sergestes sp;13.9;3.39E+01;7.99E+01;8.94E+01;2.64E+00;18;Mayzaud et al. 2005;;;
Decapods;Systellaspis debilis;12.5;2.36E+01;5.42E+01;7.01E+01;2.96E+00;18;Mayzaud et al. 2005;;;
Euphausiacea;Megaynctiphanes norvegica;12.5;1.90E+01;7.02E+01;9.09E+01;4.78E+00;18;Mayzaud et al. 2005;;;
Euphausiacea;Megaynctiphanes norvegica;17.8;1.40E+01;3.75E+01;2.81E+01;2.01E+00;18;Mayzaud et al. 2005;;;
Euphausiacea;Euphausia pacifica;5;1.44E+00;3.83E+00;1.07E+01;7.45E+00;14;Kim etal. 2010;;;
Euphausiacea;Euphausia pacifica;5;1.75E+00;3.65E+00;1.02E+01;5.84E+00;14;Kim etal. 2010;;;
Euphausiacea;Euphausia pacifica;5;1.83E+00;3.25E+00;9.11E+00;4.97E+00;14;Kim etal. 2010;;;
Euphausiacea;Euphausia pacifica;5;2.40E+00;3.53E+00;9.89E+00;4.12E+00;14;Kim etal. 2010;;;
Euphausiacea;Euphausia pacifica;5;2.47E+00;3.83E+00;1.07E+01;4.34E+00;14;Kim etal. 2010;;;
Euphausiacea;Euphausia pacifica;5;2.75E+00;4.16E+00;1.17E+01;4.24E+00;14;Kim etal. 2010;;;
Euphausiacea;Euphausia pacifica;5;2.51E+00;4.37E+00;1.22E+01;4.88E+00;14;Kim etal. 2010;;;
Euphausiacea;Euphausia pacifica;5;2.47E+00;5.23E+00;1.47E+01;5.93E+00;14;Kim etal. 2010;;;
Euphausiacea;Euphausia pacifica;5;1.67E+00;4.59E+00;1.29E+01;7.68E+00;14;Kim etal. 2010;;;
Euphausiacea;Euphausia pacifica;5;1.75E+00;5.23E+00;1.47E+01;8.37E+00;14;Kim etal. 2010;;;
Euphausiacea;Euphausia pacifica;5;2.07E+00;6.17E+00;1.73E+01;8.36E+00;14;Kim etal. 2010;;;
Euphausiacea;Euphausia pacifica;5;2.10E+00;7.26E+00;2.03E+01;9.70E+00;14;Kim etal. 2010;;;
