Order;Scientific name;Type;FBRP;M;K;Amax;L∞;Habitat;Reference
Perciformes;Pomadasys maculatus;Fproxy;1.01;1.58;0.159;11.5;70.5;reef;27
Perciformes;Pomatomus saltatrix;Fproxy;0.29;0.349;0.159;9;97.8;pelagic;22
Perciformes;Priacanthus macracanthus;Fproxy;0.896;1.74;0.588;9;36.4;reef;27
Perciformes;Priacanthus tayenus;Fproxy;0.63;1.28;0.82;9;28.7;reef;27
Perciformes;Pseudocaranx wrighti;Fproxy;0.113;0.1;0.26;49;55.66;pelagic;17
Perciformes;Rachycentron canadum;Fproxy;0.33;0.289;0.314;15;130.9;demersal;22
Perciformes;Rexea solandri;Fproxy;0.143;0.25;0.181;17;106.1;bathy;17
Perciformes;Sciaenops ocellatus;Fproxy;0.8;0.62;0.401;50;96.2;demersal;22
Perciformes;Scomber japonicus;Fproxy;0.3;0.549;0.323;18;43.8;pelagic;22
Perciformes;Scomber scombrus;Fproxy;0.188;0.15;0.394;17;40.5;pelagic;9
Perciformes;Scomberomorus cavalla;Fproxy;0.187;0.296;0.174;14;124.6;reef;22
Perciformes;Scomberomorus cavalla;Fproxy;0.256;0.296;0.174;14;124.6;reef;22
Perciformes;Scomberomorus maculatus;Fproxy;0.629;0.3;0.303;14;79.3;reef;22
Perciformes;Scomberomorus maculatus;Fproxy;0.43;0.3;0.303;14;79.3;reef;22
Perciformes;Scomberomorus munroi;Fproxy;0.206;0.48;0.508;7;80;pelagic;1
Perciformes;Secutor insidator;Fproxy;1.464;2.29;1.31;1.9;10.37; ;27
Perciformes;Seriola dumerili;Fproxy;0.424;0.39;0.24;18.27;144.7;reef;22
Perciformes;Seriola dumerili;Fproxy;0.57;0.39;0.24;18.27;144.7;reef;22
